127.0.0.1 - - [18/Oct/2023:00:38:12 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Oct/2023:00:38:13 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [18/Oct/2023:00:38:31 +0530] "POST /ResturantManagement/CustomerLogin.jsf;jsessionid=D75909267122093BA21112D224012B5F HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:00:38:31 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [18/Oct/2023:00:38:40 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:00:38:40 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:38:08 +0530] "GET /ResturantManagement/ShowMenuDropdown.jsf HTTP/1.1" 500 5932
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:38:27 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:58:48 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:58:57 +0530] "POST /ResturantManagement/CustomerLogin.jsf;jsessionid=A330C36D7DA4F1A964F3839D57F8F22C HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:58:57 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:59:29 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:59:29 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:30:11 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:30:45 +0530] "POST /ResturantManagement/CustomerLogin.jsf;jsessionid=DA7567113CD110F9C9AE2A16D7DB843C HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:30:45 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:30:52 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:30:53 +0530] "GET /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 200 4845
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:30:53 +0530] "GET /ResturantManagement/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:40 +0530] "POST /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:43 +0530] "GET /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 200 4845
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:44 +0530] "POST /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:44 +0530] "GET /ResturantManagement/CustomerWalletShow.jsf HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:48 +0530] "POST /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:53 +0530] "POST /ResturantManagement/ShowRestaurant.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:53 +0530] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:53 +0530] "GET /ResturantManagement/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:31:58 +0530] "GET /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 200 4845
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:32:02 +0530] "POST /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:32:02 +0530] "GET /ResturantManagement/ShowOrdersHistory.jsf HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:32:07 +0530] "POST /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:32:07 +0530] "GET /ResturantManagement/ShowPendingOrders.jsf HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:32:32 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:32:45 +0530] "GET /ResturantManagement/VendorLogin.jsf HTTP/1.1" 200 3170
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:33:16 +0530] "POST /ResturantManagement/VendorLogin.jsf;jsessionid=738AD42BFAB46E541E1109C88A620FD4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:33:16 +0530] "GET /ResturantManagement/VendorDashboard.jsf HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:33:16 +0530] "GET /ResturantManagement/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 304 -
