127.0.0.1 - - [18/Nov/2023:20:02:31 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:02:35 +0530] "GET /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 500 6674
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:02:53 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:03:05 +0530] "POST /ResturantManagement/CustomerLogin.jsf;jsessionid=2CB050091742CC35B27FDA393B4EDED9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:03:05 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:03:23 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:03:23 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:03:54 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:03:54 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:04:03 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:04:03 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:05:58 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:05:58 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:08:06 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:08:07 +0530] "GET /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:08:07 +0530] "GET /ResturantManagement/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 44353
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:08:11 +0530] "POST /ResturantManagement/CustomerDashboard.jsf HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:08:18 +0530] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5069
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:08:24 +0530] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5066
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:08:28 +0530] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:09:05 +0530] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:09:09 +0530] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5238
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:09:31 +0530] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5235
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:09:36 +0530] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:09:40 +0530] "POST /ResturantManagement/PlaceOrderMenuShow.jsf HTTP/1.1" 200 3675
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:09:43 +0530] "POST /ResturantManagement/PlaceOrderMenuShow.jsf HTTP/1.1" 200 3675
0:0:0:0:0:0:0:1 - - [18/Nov/2023:20:09:45 +0530] "POST /ResturantManagement/PlaceOrderMenuShow.jsf HTTP/1.1" 200 3675
